Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,467,512,8480,2,4,7,19,32,51,101,231,0,0,0
2,437,512,8192,2,3,10,13,28,64,110,215,0,0,0
3,382,512,6924,2,3,6,15,30,52,123,186,0,0,0
4,190,256,2880,1,2,7,13,30,47,109,0,0,0,0
5,548,1024,11544,1,4,6,15,28,49,111,208,451,0,0
6,439,512,7884,2,3,9,17,35,53,96,237,0,0,0
7,343,512,6012,2,5,10,13,43,64,139,238,0,0,0
8,551,1024,11612,1,4,9,17,37,51,104,229,382,0,0
9,568,1024,11760,2,4,7,13,32,61,97,243,457,0,0
10,237,256,3632,1,3,8,15,27,69,98,0,0,0,0
11,745,1024,16004,3,5,7,17,42,59,117,219,466,0,0
12,439,512,7724,2,4,9,14,30,56,124,267,0,0,0
13,245,256,3552,1,3,7,19,27,69,100,0,0,0,0
14,453,512,8292,2,3,10,16,34,72,127,197,0,0,0
15,420,512,7540,1,3,8,16,34,52,112,204,0,0,0
16,607,1024,12748,1,2,6,25,34,72,134,231,427,0,0
17,543,1024,11404,2,4,8,18,26,53,99,215,401,0,0
18,387,512,7260,2,4,8,15,25,57,107,221,0,0,0
19,348,512,6040,2,3,8,18,33,68,106,228,0,0,0
20,268,512,4828,1,3,6,17,34,81,159,219,0,0,0
21,223,256,3224,1,4,8,25,32,62,106,0,0,0,0
22,270,256,4224,2,4,8,17,29,88,113,0,0,0,0
23,604,1024,12736,2,4,8,15,25,65,104,187,396,0,0
24,410,512,7576,1,3,6,20,30,51,131,206,0,0,0
25,227,256,3264,2,3,7,20,43,57,104,0,0,0,0
26,384,512,6928,2,3,8,16,37,66,116,229,0,0,0
27,167,256,2360,2,4,9,14,35,60,116,0,0,0,0
28,816,1024,17344,1,5,8,15,40,64,116,287,462,0,0
29,380,512,6908,2,3,7,15,28,61,105,233,0,0,0
30,673,1024,13804,2,3,6,15,27,48,124,216,452,0,0
31,602,1024,12600,1,6,9,18,28,66,113,215,422,0,0
32,427,512,7592,1,4,8,17,36,65,130,286,0,0,0
33,697,1024,15116,2,3,5,13,30,60,108,231,405,0,0
34,377,512,6392,3,5,9,17,29,54,107,232,0,0,0
