Iteration,Game Iterations,Max Tile,Score,4,8,16,64,128,256,512,1024,2048,4096
1,435,512,7964,2,3,6,20,31,63,96,222,0,0,0
2,449,512,7900,1,2,12,30,33,50,143,239,0,0,0
3,185,256,2656,1,2,10,15,28,59,120,0,0,0,0
4,644,1024,14112,2,4,9,20,36,58,125,278,442,0,0
5,739,1024,15768,2,3,5,15,47,52,103,277,355,0,0
6,256,256,3856,1,3,6,13,23,63,106,0,0,0,0
7,399,512,7184,2,3,5,21,31,60,97,248,0,0,0
8,459,512,8444,2,3,7,15,26,56,124,187,0,0,0
9,428,512,7620,1,5,10,14,45,59,117,198,0,0,0
10,527,1024,11396,2,3,8,12,27,48,112,192,451,0,0
11,558,1024,11720,2,4,9,21,29,60,133,227,491,0,0
12,390,512,7308,1,3,8,14,26,57,113,235,0,0,0
13,386,512,7040,1,6,10,17,25,69,106,195,0,0,0
14,429,512,7744,2,3,8,13,32,66,137,248,0,0,0
15,556,512,9860,3,5,7,18,35,76,106,266,0,0,0
16,254,256,3780,2,4,7,15,55,92,224,0,0,0,0
17,588,1024,12628,2,3,8,13,30,54,103,245,474,0,0
18,555,1024,12024,2,3,7,20,24,60,100,224,415,0,0
19,576,1024,12244,1,3,9,18,30,63,112,255,378,0,0
20,295,512,5496,2,3,8,18,43,63,106,226,0,0,0
21,309,512,5552,2,3,7,12,30,65,123,264,0,0,0
22,493,512,8824,2,3,7,15,28,52,105,249,0,0,0
23,476,512,8468,2,3,5,16,26,47,109,213,0,0,0
24,385,512,6932,1,3,8,14,31,57,112,245,0,0,0
25,309,512,5392,2,5,8,24,44,53,128,280,0,0,0
26,752,1024,15952,1,3,10,18,29,62,130,237,394,0,0
27,372,512,6664,2,5,11,20,37,69,129,274,0,0,0
28,426,512,7592,2,3,9,19,28,69,117,210,0,0,0
29,599,1024,12332,2,5,6,26,39,54,119,225,392,0,0
30,622,1024,12860,2,4,7,22,28,54,108,194,430,0,0
31,382,512,7048,1,3,7,16,29,66,129,211,0,0,0
32,719,1024,15376,2,3,5,14,31,67,118,235,367,0,0
33,229,256,3360,1,5,8,15,32,60,134,0,0,0,0
34,432,512,8008,1,3,8,12,34,62,101,200,0,0,0
35,728,1024,15524,3,5,10,18,35,59,114,254,369,0,0
36,214,256,3236,1,3,6,13,28,62,116,0,0,0,0
37,404,512,7604,2,3,8,14,31,58,121,222,0,0,0
38,397,512,7236,1,4,6,18,25,62,138,214,0,0,0
39,515,1024,10988,2,5,9,14,25,58,116,213,420,0,0
40,136,128,1660,2,4,11,15,23,71,0,0,0,0,0
41,564,1024,11792,2,3,7,18,36,51,113,220,400,0,0
42,417,512,7452,2,3,6,15,36,59,101,206,0,0,0
43,487,512,9004,1,3,9,14,33,58,119,252,0,0,0
44,660,1024,13428,1,4,9,16,29,53,108,244,410,0,0
45,743,1024,15596,1,2,12,15,33,63,113,235,422,0,0
46,716,1024,15468,2,3,9,14,39,66,141,231,450,0,0
47,767,1024,16060,2,5,8,15,35,72,121,251,442,0,0
48,752,1024,16040,2,3,7,16,32,60,120,200,435,0,0
49,729,1024,15644,1,3,9,15,33,62,133,276,397,0,0
50,338,512,5992,1,2,6,14,32,53,123,268,0,0,0
51,897,1024,19480,1,2,10,15,31,63,90,196,415,0,0
52,587,1024,12036,2,4,9,14,27,61,107,217,360,0,0
53,280,512,5048,1,3,5,16,31,56,119,259,0,0,0
54,647,1024,13360,1,3,9,21,32,50,120,221,431,0,0
55,567,1024,11776,1,3,7,17,37,74,120,274,458,0,0
56,607,1024,12704,2,3,12,15,34,62,108,242,396,0,0
57,514,512,9180,2,5,7,15,30,55,105,245,0,0,0
58,755,1024,15456,2,3,9,21,31,61,102,260,471,0,0
59,613,1024,12852,2,3,8,13,31,45,114,214,417,0,0
60,774,1024,16432,2,4,10,17,35,62,99,240,435,0,0
61,514,512,9628,1,3,6,19,30,50,112,203,0,0,0
62,217,256,3184,1,3,10,14,33,51,140,0,0,0,0
63,470,512,8604,1,4,8,16,32,63,132,243,0,0,0
64,346,512,6528,2,6,7,16,32,60,124,229,0,0,0
65,190,256,2824,2,3,8,16,30,61,124,0,0,0,0
66,128,128,1440,2,5,8,16,36,60,0,0,0,0,0
67,246,256,3640,2,4,8,19,33,59,128,0,0,0,0
68,424,512,7680,2,5,9,17,27,55,106,194,0,0,0
69,731,1024,15420,2,4,10,19,31,61,109,257,379,0,0
70,384,512,7076,2,3,7,16,39,63,112,233,0,0,0
71,442,512,7996,2,3,11,17,31,59,122,214,0,0,0
72,448,512,8128,1,3,8,15,30,59,113,243,0,0,0
73,355,256,5824,2,6,9,14,28,85,102,0,0,0,0
74,441,512,8040,2,3,8,19,26,51,118,244,0,0,0
75,613,1024,12628,1,3,7,16,30,50,119,210,408,0,0
76,412,512,7416,1,2,10,15,35,55,125,243,0,0,0
77,289,512,5068,1,4,9,19,35,50,127,207,0,0,0
78,449,512,8348,2,3,5,21,29,51,130,244,0,0,0
79,806,1024,17304,1,4,6,14,27,58,110,228,406,0,0
80,592,1024,12368,2,5,8,16,36,59,128,190,351,0,0
81,685,1024,14952,2,5,6,16,29,67,118,246,460,0,0
82,208,256,3104,1,3,7,15,27,63,119,0,0,0,0
83,702,1024,15108,2,5,7,13,31,58,109,208,470,0,0
84,668,1024,13908,1,3,9,19,36,63,126,229,416,0,0
85,751,1024,15996,1,2,9,15,28,58,121,210,400,0,0
86,349,512,6400,1,3,11,16,29,62,109,227,0,0,0
87,209,256,3132,2,5,7,14,29,51,125,0,0,0,0
88,600,1024,12976,2,3,8,14,27,64,113,221,410,0,0
89,423,512,7836,1,3,6,14,33,67,126,177,0,0,0
90,394,512,7028,2,4,7,18,38,69,114,275,0,0,0
91,367,512,6348,1,4,6,18,32,67,102,197,0,0,0
92,299,512,5304,2,4,11,13,27,61,119,207,0,0,0
93,440,512,8032,1,3,5,19,39,71,120,285,0,0,0
94,362,512,6644,1,3,6,22,29,63,109,248,0,0,0
95,708,1024,14372,2,3,6,20,56,59,127,243,385,0,0
96,610,1024,12840,1,3,8,17,37,58,126,236,380,0,0
97,646,1024,13148,1,3,8,17,38,61,124,225,388,0,0
98,579,1024,12040,2,5,9,16,30,72,134,216,414,0,0
99,661,1024,14272,2,5,13,15,40,52,126,213,399,0,0
100,563,1024,11744,2,4,9,17,26,63,137,254,482,0,0
