Game Iterations,Max Tile,Score,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192, 16384, 32768,65536,131072
1870,2048,5697,0,1,4,11,21,39,67,133,251,513,947,0,0,0,0,0,0
