Game Iterations,Max Tile,Score,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192, 16384, 32768,65536,131072
2433,4096,7421,0,1,3,9,21,36,72,131,249,497,995,1933,0,0,0,0,0
