Game Iterations,Max Tile,Score,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192, 16384, 32768,65536,131072
262,512,770,0,1,4,8,18,39,67,123,242,0,0,0,0,0,0,0,0
175,256,498,0,1,3,12,18,32,65,119,0,0,0,0,0,0,0,0,0
118,128,321,0,1,3,11,18,36,66,0,0,0,0,0,0,0,0,0,0
86,128,232,0,1,2,11,18,33,59,0,0,0,0,0,0,0,0,0,0
118,128,321,0,1,4,12,20,33,60,0,0,0,0,0,0,0,0,0,0
102,128,275,0,1,3,9,20,32,65,0,0,0,0,0,0,0,0,0,0
62,64,153,0,1,5,8,17,39,0,0,0,0,0,0,0,0,0,0,0
56,64,134,0,1,4,10,22,34,0,0,0,0,0,0,0,0,0,0,0
94,128,255,0,1,3,9,20,33,66,0,0,0,0,0,0,0,0,0,0
120,128,325,0,1,3,9,16,36,73,0,0,0,0,0,0,0,0,0,0
119,128,323,0,1,3,9,20,34,64,0,0,0,0,0,0,0,0,0,0
115,128,312,0,1,2,9,18,36,66,0,0,0,0,0,0,0,0,0,0
118,128,320,0,1,4,10,18,31,63,0,0,0,0,0,0,0,0,0,0
202,256,582,0,0,5,10,18,34,66,123,0,0,0,0,0,0,0,0,0
56,64,137,0,0,5,9,18,32,0,0,0,0,0,0,0,0,0,0,0
52,64,126,0,1,4,10,18,38,0,0,0,0,0,0,0,0,0,0,0
172,256,488,0,0,5,11,19,36,66,127,0,0,0,0,0,0,0,0,0
201,256,581,0,1,3,9,17,37,64,121,0,0,0,0,0,0,0,0,0
66,64,165,0,1,2,9,19,30,0,0,0,0,0,0,0,0,0,0,0
166,256,475,0,1,4,6,16,34,71,120,0,0,0,0,0,0,0,0,0
62,64,153,0,1,3,8,17,36,0,0,0,0,0,0,0,0,0,0,0
54,64,131,0,0,3,9,25,41,0,0,0,0,0,0,0,0,0,0,0
60,64,148,0,1,3,10,20,36,0,0,0,0,0,0,0,0,0,0,0
56,64,141,0,1,4,9,17,33,0,0,0,0,0,0,0,0,0,0,0
84,128,225,0,0,4,10,21,35,71,0,0,0,0,0,0,0,0,0,0
64,64,156,0,0,3,10,19,34,0,0,0,0,0,0,0,0,0,0,0
60,64,148,0,1,3,11,19,33,0,0,0,0,0,0,0,0,0,0,0
206,256,592,0,1,4,10,18,31,64,122,0,0,0,0,0,0,0,0,0
118,128,321,0,1,3,13,18,34,66,0,0,0,0,0,0,0,0,0,0
168,256,476,0,1,3,11,18,34,71,122,0,0,0,0,0,0,0,0,0
70,64,176,0,1,3,10,20,35,0,0,0,0,0,0,0,0,0,0,0
178,256,504,0,1,4,10,17,34,62,125,0,0,0,0,0,0,0,0,0
58,64,143,0,1,2,6,16,32,0,0,0,0,0,0,0,0,0,0,0
106,128,286,0,1,3,14,18,38,66,0,0,0,0,0,0,0,0,0,0
112,128,305,0,0,4,8,18,34,68,0,0,0,0,0,0,0,0,0,0
196,256,564,0,1,5,7,16,31,60,124,0,0,0,0,0,0,0,0,0
116,128,317,0,0,3,9,17,32,63,0,0,0,0,0,0,0,0,0,0
118,128,321,0,0,3,9,18,38,66,0,0,0,0,0,0,0,0,0,0
104,128,283,0,1,4,11,15,32,63,0,0,0,0,0,0,0,0,0,0
64,64,158,0,1,3,7,18,32,0,0,0,0,0,0,0,0,0,0,0
152,256,433,0,1,4,11,19,38,66,132,0,0,0,0,0,0,0,0,0
158,256,440,0,0,5,10,18,38,66,130,0,0,0,0,0,0,0,0,0
118,128,322,0,0,5,10,16,31,59,0,0,0,0,0,0,0,0,0,0
66,64,164,0,0,4,10,19,34,0,0,0,0,0,0,0,0,0,0,0
120,128,325,0,1,4,9,18,33,75,0,0,0,0,0,0,0,0,0,0
102,128,274,0,0,5,10,18,34,68,0,0,0,0,0,0,0,0,0,0
86,128,230,0,1,4,8,16,31,66,0,0,0,0,0,0,0,0,0,0
166,256,469,0,0,1,7,18,30,61,126,0,0,0,0,0,0,0,0,0
92,128,243,0,1,5,7,18,33,79,0,0,0,0,0,0,0,0,0,0
58,64,138,0,0,5,9,20,36,0,0,0,0,0,0,0,0,0,0,0
146,256,414,0,0,4,10,18,33,70,120,0,0,0,0,0,0,0,0,0
66,64,165,0,0,3,8,17,35,0,0,0,0,0,0,0,0,0,0,0
112,128,309,0,1,3,7,16,32,63,0,0,0,0,0,0,0,0,0,0
92,128,244,0,1,3,10,18,37,68,0,0,0,0,0,0,0,0,0,0
56,64,137,0,1,3,9,18,38,0,0,0,0,0,0,0,0,0,0,0
50,64,118,0,1,4,9,20,35,0,0,0,0,0,0,0,0,0,0,0
84,128,220,0,1,2,8,15,33,72,0,0,0,0,0,0,0,0,0,0
110,128,302,0,0,3,9,16,30,60,0,0,0,0,0,0,0,0,0,0
102,128,278,0,1,3,12,15,32,62,0,0,0,0,0,0,0,0,0,0
70,64,176,0,0,4,8,16,31,0,0,0,0,0,0,0,0,0,0,0
152,256,434,0,1,5,8,16,29,62,123,0,0,0,0,0,0,0,0,0
113,128,312,0,1,2,13,22,32,58,0,0,0,0,0,0,0,0,0,0
200,256,579,0,1,2,9,17,38,61,117,0,0,0,0,0,0,0,0,0
78,128,205,0,1,3,9,18,37,66,0,0,0,0,0,0,0,0,0,0
114,128,313,0,1,6,8,20,33,63,0,0,0,0,0,0,0,0,0,0
88,128,235,0,1,3,12,19,35,64,0,0,0,0,0,0,0,0,0,0
86,128,231,0,1,4,7,18,29,64,0,0,0,0,0,0,0,0,0,0
172,256,488,0,1,3,11,24,35,66,126,0,0,0,0,0,0,0,0,0
89,128,234,0,1,3,11,19,36,71,0,0,0,0,0,0,0,0,0,0
176,256,494,0,1,4,12,20,31,75,124,0,0,0,0,0,0,0,0,0
92,128,244,0,1,3,8,18,32,65,0,0,0,0,0,0,0,0,0,0
116,128,316,0,0,3,13,19,34,72,0,0,0,0,0,0,0,0,0,0
208,256,595,0,1,5,10,20,40,72,126,0,0,0,0,0,0,0,0,0
56,64,140,0,1,2,9,18,32,0,0,0,0,0,0,0,0,0,0,0
78,128,205,0,0,4,8,19,32,69,0,0,0,0,0,0,0,0,0,0
82,128,220,0,1,2,9,19,34,62,0,0,0,0,0,0,0,0,0,0
92,128,247,0,1,4,11,17,33,65,0,0,0,0,0,0,0,0,0,0
130,128,359,0,1,6,11,17,36,64,0,0,0,0,0,0,0,0,0,0
50,64,119,0,0,5,8,18,33,0,0,0,0,0,0,0,0,0,0,0
124,128,337,0,1,3,9,17,36,65,0,0,0,0,0,0,0,0,0,0
